customer_id,customer_name,email,country,state,city,address,credit_score,income,debt_to_income_ratio,risk_tolerance,employment_status,credit_utilization_ratio,default_probability
1,Noah Rhodes,garzaanthony@example.org,United States,Florida,North Judithbury,89083 Robinson Radial,712,41891,0.14,Low,Employed,0.32,0.0936
2,Caitlin Henderson,eric51@example.org,United States,Florida,Lisatown,55940 Herrera Lane Apt. 849,648,56084,0.29,Medium,Unemployed,0.72,0.236
3,Darren Roberts,wyattmichelle@example.com,United States,North Carolina,Barbaraland,5255 Elizabeth Squares Apt. 928,821,43328,0.05,Medium,Self-employed,0.21,0.0856
4,Timothy Watts,gabriellecameron@example.org,United States,Ohio,East Steven,56413 Lewis Parks,430,31151,0.56,Low,Employed,0.56,0.6002
5,Charles Mcgee,julie69@example.com,United States,Illinois,Wilkersonmouth,28710 Eric Estate Suite 916,689,106851,0.36,Low,Employed,0.53,0.2429
6,Tricia Valencia,frazierdanny@example.net,United States,North Carolina,Carlsonmouth,514 Moore Alley Suite 828,774,47617,0.29,Low,Employed,0.16,0.1713
7,Brittany Farmer,georgetracy@example.org,United States,California,Port Colleenhaven,3039 Christopher Oval Apt. 822,693,18971,0.18,Low,Self-employed,0.07,0.0129
8,Shane Henderson,sarahcampos@example.net,United States,New York,Arroyoburgh,465 Lam Mission,706,93045,0.32,High,Employed,0.2,0.2514
9,Julian Chapman,jonescrystal@example.org,United States,Illinois,East Jeffreymouth,51834 Lewis Curve,610,22823,0.51,High,Employed,0.91,0.3622
10,Cheryl Davis,agomez@example.com,United Kingdom,,Sanchezfort,106 Mcbride Coves,670,23798,0.29,Low,Employed,0.05,0.0804
11,Javier Ramirez,nancyjones@example.net,United States,Pennsylvania,East James,80132 Tucker Forest,712,155450,0.35,Low,Employed,0.42,0.1286
12,William Baker,smitchell@example.net,United States,Texas,Barreraburgh,34309 Julie Centers Apt. 978,635,22992,0.8,High,Self-employed,0.51,0.2144
13,Cody Larson,richarddavid@example.net,Canada,,North Susan,909 Robert Prairie,504,15000,0.45,Low,Self-employed,0.57,0.2044
14,Emily Baker,emilyevans@example.com,United States,Pennsylvania,Sarahborough,79911 William Curve,479,98547,0.32,High,Retired,0.18,0.5481
15,Christopher Bass,cheryl80@example.net,United States,Texas,Nicolebury,124 Pamela Summit Apt. 449,706,46953,0.46,Low,Employed,0.6,0.1914
16,Sarah Wagner,rebecca01@example.net,United States,Ohio,Lake Matthew,0052 Martin Mills Suite 801,758,50305,0.22,Medium,Self-employed,0.25,0.029
17,Jacob Tran,tanderson@example.com,United States,Florida,Lake Rebeccaside,3315 Dickson Summit,459,46555,0.52,Medium,Employed,0.55,0.3778
18,Rita Keith,whitesandra@example.com,United States,Florida,East Michelle,2160 Walker Viaduct,606,72065,0.29,Low,Employed,0.53,0.2552
19,Matthew Ross,michelle45@example.net,United States,Illinois,Baileybury,850 Natalie Green Apt. 940,701,32788,0.28,Low,Employed,0.01,0.1028
20,William Wilson,jonathanfletcher@example.org,United States,Illinois,New Ryanmouth,6159 Alvarado Crossing,710,195026,0.37,Medium,Employed,0.64,0.2139
21,Michael Spencer,robertbentley@example.net,United States,Illinois,Williamchester,946 Kevin Fords,788,18379,0.1,Medium,Employed,0.18,0.1243
22,Jeremy Lewis,yleon@example.net,United States,Illinois,Floydmouth,148 Davis Terrace,617,85468,0.71,Medium,Retired,0.33,0.2017
23,Brittany Williams,xcarr@example.org,United States,Georgia,Lake Lance,9367 Sanchez Shoal Apt. 163,815,100077,0.4,Low,Employed,0.01,0.2585
24,Amber Wright,bryantlaurie@example.net,United States,California,Port Susan,9868 Merritt Summit Suite 743,453,32606,0.71,Medium,Employed,0.42,0.4488
25,Mr. Jeremiah Reeves,josephflores@example.net,Canada,,Katiehaven,23623 Robert Isle,634,26397,0.64,Medium,Student,0.49,0.3857
26,Jean Carrillo,gateskathy@example.com,United States,Texas,Perryborough,54668 Tracy Groves Suite 706,827,135095,0.12,Medium,Employed,0.13,0.1364
27,Sara Calhoun,meadowsbrittany@example.net,United States,Texas,Elizabethfurt,62720 Gray Forest,629,27100,0.47,Low,Self-employed,0.88,0.214
28,Trevor Fisher,ruizkaitlyn@example.org,United States,California,Murphyfurt,10033 Christine Garden Apt. 719,521,36852,0.42,Medium,Retired,0.55,0.2647
29,Carol Lawson,stricklandfrank@example.com,United States,California,South Holly,049 Sanders Stravenue,770,121764,0.13,Medium,Employed,0.01,0.0291
30,Dana Terry,melissa91@example.net,United States,Illinois,North Brittany,8651 Smith Manor,704,61561,0.44,High,Employed,0.08,0.2885
31,Sandra Zimmerman,hthompson@example.net,United States,Illinois,Garciastad,877 Petersen Ramp Suite 531,401,15000,0.3,Medium,Retired,0.36,0.513
32,Laura Barnett,anthony52@example.com,United States,California,Nicolebury,4549 Peters Path,715,242231,0.26,Low,Retired,0.28,0.1562
33,Justin Allen,fbrewer@example.com,United States,California,North John,43634 Kennedy Pines,631,39182,0.61,Low,Employed,0.31,0.1579
34,Michael Nelson,jerry35@example.org,United States,Texas,Ronaldside,37498 Hooper Village,746,43381,0.28,Low,Employed,0.17,0.1594
35,Adrian Ferguson,brandon08@example.com,United States,Illinois,West Jeremy,710 Harrison Mill,708,73469,0.63,Low,Employed,0.41,0.3378
36,Scott Wilson,moralescharles@example.net,United States,Illinois,Jackton,29413 Angela Mall,690,98721,0.36,Low,Retired,0.31,0.1571
37,Jeremy Dalton,ntorres@example.org,United States,Pennsylvania,Port Alexandra,34123 Andrea Estate,781,287472,0.18,Low,Employed,0.08,0.0299
38,David Mann,ojones@example.com,United States,Texas,South Shannonfort,1832 Serrano Cliffs,763,15866,0.26,Low,Student,0.2,0.01
39,Jessica Harrison,holly48@example.net,United States,Ohio,East Laurashire,1906 Munoz Burg Apt. 399,788,115932,0.05,Low,Unemployed,0.02,0.2888
40,Pamela Thompson,lmoon@example.net,United States,Texas,Port Emilyview,717 Ortiz Islands Apt. 256,770,108489,0.38,Medium,Retired,0.32,0.01
41,Krista Gibson,johnny16@example.net,United States,California,Robertsfurt,876 Jacob Lake,626,53651,0.85,Low,Self-employed,0.88,0.106
42,Joshua Pennington,fgilmore@example.org,United States,New York,Garrettton,932 Pierce Plaza,763,112399,0.16,Low,Employed,0.13,0.0243
43,Bruce Collier,scantu@example.net,United States,Texas,Davisville,7737 Patrick Rapid Apt. 146,518,126426,0.28,Medium,Employed,0.6,0.3391
44,Aaron Barber,cgrimes@example.net,United States,Illinois,Sarahhaven,5886 Cantu Ways Apt. 396,708,19819,0.29,Low,Employed,0.2,0.1776
45,Patrick Thornton,qhughes@example.net,United States,California,Port Kimberly,0289 Kane Well,630,242756,0.87,Low,Employed,0.59,0.25
46,Charles Pitts,charlesharrington@example.com,United States,Pennsylvania,Garciamouth,615 Finley Road Suite 809,687,17205,0.55,Low,Employed,0.41,0.3375
47,Nicole Hamilton MD,wallaceheather@example.org,United States,Texas,East Crystalport,0455 Thomas Pines,780,24142,0.25,Medium,Self-employed,0.06,0.0152
48,Bob Pitts,tyleraguilar@example.org,United States,Florida,Knightburgh,474 Rachel Mountain Suite 821,623,48560,0.57,High,Employed,0.24,0.2217
49,Victor Vaughn,mbruce@example.com,United States,Texas,Landryshire,36959 Haney Hill Apt. 640,698,279275,0.28,Low,Retired,0.08,0.2841
50,Crystal Pham,danaoliver@example.net,United States,California,New Julieport,104 Johnson Lakes,701,46788,0.05,Medium,Employed,0.25,0.1811
51,Jason Gonzalez,alyssa42@example.com,United States,Texas,North Renee,5171 Karen Fork Suite 851,433,58363,0.85,Medium,Employed,0.5,0.2783
52,Jacob Curry,brenda51@example.net,United States,Illinois,Smithside,0985 Deborah Roads,411,188275,0.56,Medium,Employed,0.7,0.4296
53,Audrey Williams,torrestravis@example.org,United States,New York,Blankenshipport,267 Santiago Summit,755,47086,0.23,High,Unemployed,0.23,0.116
54,Mary Bass,rcrosby@example.org,United States,Michigan,Matthewsberg,77351 Stephens Rue Suite 064,841,23324,0.11,High,Retired,0.05,0.12
55,Anna Lewis,williamsmatthew@example.org,United States,Pennsylvania,North Stacy,83933 Schroeder Turnpike,644,42882,0.44,Low,Employed,0.39,0.3266
